,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Busselton,-33.65,115.3333,64.99,76,100,4.0,AU,1614554915
1,Rikitea,-23.1203,-134.9692,78.39,77,28,12.19,PF,1614554915
2,Ashti,19.3833,76.2333,76.44,25,0,4.7,IN,1614554916
3,Atuona,-9.8,-139.0333,80.37,78,6,16.31,PF,1614554916
4,Verkhnyaya Inta,65.9811,60.3094,4.55,92,97,9.75,RU,1614554916
5,Kakching,24.4833,93.9833,51.98,69,0,1.5,IN,1614554916
6,Castro,-24.7911,-50.0119,64.26,96,91,7.81,BR,1614554901
7,Saskylakh,71.9167,114.0833,-23.4,84,100,7.18,RU,1614554917
8,Kahului,20.8947,-156.47,78.8,57,40,21.85,US,1614554917
9,Qaanaaq,77.484,-69.3632,-5.19,83,88,2.98,GL,1614554917
10,Nouadhibou,20.931,-17.0347,60.8,77,0,16.11,MR,1614554918
11,Tāybād,34.74,60.7756,45.43,21,2,7.16,IR,1614554918
12,Clyde River,70.4692,-68.5914,-27.4,56,75,3.44,CA,1614554918
13,George Town,5.4112,100.3354,80.6,88,20,3.44,MY,1614554919
14,Tilichiki,60.4667,166.1,-15.63,90,100,14.79,RU,1614554919
15,Calama,-22.4667,-68.9333,69.8,43,20,29.93,CL,1614554919
16,Hithadhoo,-0.6,73.0833,82.71,65,83,8.55,MV,1614554920
17,Rocha,-34.4833,-54.3333,68.79,82,5,11.23,UY,1614554920
18,Ribeira Grande,38.5167,-28.7,56.77,62,2,9.91,PT,1614554920
19,Padang,-0.9492,100.3543,73.4,94,20,3.44,ID,1614554795
20,Suwanee,34.0515,-84.0713,73.99,56,20,9.22,US,1614554795
21,Danville,36.586,-79.395,57.2,88,1,8.72,US,1614554691
22,Itapuranga,-15.5622,-49.9486,67.35,95,99,4.63,BR,1614554921
23,Vaini,-21.2,-175.2,82.4,69,75,4.61,TO,1614554922
24,Albany,42.6001,-73.9662,41.0,63,100,1.01,US,1614554922
25,Talnakh,69.4865,88.3972,-34.29,79,12,8.46,RU,1614554922
26,Cabo San Lucas,22.8909,-109.9124,78.01,41,40,9.22,MX,1614554823
27,Bambous Virieux,-20.3428,57.7575,78.01,88,40,3.44,MU,1614554923
28,Chara,56.9064,118.2631,-27.24,61,77,1.48,RU,1614554923
29,Nikolskoye,59.7035,30.7861,34.0,93,0,6.71,RU,1614554923
30,Chokurdakh,70.6333,147.9167,-29.09,84,0,3.38,RU,1614554924
31,Lesnyye Polyany,55.9667,37.8667,30.2,93,90,2.24,RU,1614554924
32,Punta Arenas,-53.15,-70.9167,51.8,43,0,13.8,CL,1614554649
33,Hamilton,39.1834,-84.5333,61.0,88,90,9.22,US,1614554870
34,Ambon City,-3.6954,128.1814,84.2,70,40,12.66,ID,1614554925
35,Manzhouli,49.6,117.4333,-11.88,69,0,3.29,CN,1614554925
36,Barrow,71.2906,-156.7887,-11.2,70,1,8.05,US,1614554701
37,Longyearbyen,78.2186,15.6401,15.8,67,75,10.36,SJ,1614554926
38,Borovnica,45.9158,14.3631,35.01,71,17,3.0,SI,1614554926
39,Antofagasta,-23.65,-70.4,69.8,78,20,10.36,CL,1614554927
40,Nuuk,64.1835,-51.7216,8.6,85,75,12.66,GL,1614554927
41,Port Alfred,-33.5906,26.891,71.74,77,4,28.1,ZA,1614554665
42,Harper,4.375,-7.7169,78.12,87,33,3.27,LR,1614554927
43,Provideniya,64.3833,-173.3,-4.0,71,90,24.61,RU,1614554928
44,Mount Gambier,-37.8333,140.7667,62.6,63,90,14.97,AU,1614554738
45,Port Macquarie,-31.4333,152.9167,79.0,88,40,3.44,AU,1614554928
46,Kapaa,22.0752,-159.319,75.2,69,20,23.02,US,1614554928
47,Kati,12.7441,-8.0726,80.6,22,0,3.44,ML,1614554929
48,Hilo,19.7297,-155.09,78.8,65,90,9.22,US,1614554929
49,Hofn,64.2539,-15.2082,39.09,73,85,13.11,IS,1614554929
50,Coquimbo,-29.9533,-71.3436,62.6,82,40,11.5,CL,1614554896
51,Ushuaia,-54.8,-68.3,46.4,61,20,17.27,AR,1614554741
52,Outjo,-20.1167,16.15,68.02,59,23,11.56,NA,1614554930
53,Saint-Philippe,-21.3585,55.7679,77.0,69,0,2.3,RE,1614554930
54,Miyako,39.6367,141.9525,43.7,62,84,4.12,JP,1614554931
55,Matamoros,25.5333,-103.25,93.2,6,75,13.09,MX,1614554931
56,Arraial do Cabo,-22.9661,-42.0278,77.63,85,99,15.21,BR,1614554931
57,Prykolotne,50.1604,37.3474,29.57,99,79,5.26,UA,1614554932
58,Asău,46.4333,26.4,39.0,49,99,4.83,RO,1614554932
59,Adeje,28.1227,-16.726,63.0,77,20,6.91,ES,1614554932
60,Caravelas,-17.7125,-39.2481,76.17,84,99,7.72,BR,1614554933
61,Torbay,47.6666,-52.7314,32.0,100,90,2.3,CA,1614554933
62,Mar del Plata,-38.0023,-57.5575,70.0,100,75,12.66,AR,1614554933
63,Henties Bay,-22.116,14.2845,64.99,90,45,1.99,NA,1614554933
64,Miles City,46.4083,-105.8406,42.8,28,75,21.85,US,1614554934
